번호,머니위키 타이틀,카테고리,우선순위,예상 트래픽,CPC,핵심 내용
62,"잔병치레 많은 나, 보험 가입 거절되거나 보험료 폭탄 맞을까봐 두려워요",보험,중,3000,3,질환을 겪은 사람은 보험 가입이 어렵다? 결론부터 말씀드리면 과거보다 더 저렴하게 가입 가능해요. 과거에는 아팠던 사람이 보험금을 받아 갈 확률이 얼마큼인지 상관관계를 통계적으로 
63,"보험, 적금보다 짭짤한 이자 챙길 수 있다고?",보험,중,1000,2,장기 목돈 마련하는 보험 활용법 💰 변액보험을 이용해서도 장기 목돈을 마련하고 있어요. 변액 보험은 펀드와 보험이 결합한 상품인데요. 10년 이상 유지하면 비과세 혜택을 받을 수 
64,의료 쇼핑 막을 5세대 실손 보험 등장,보험,상,5000,4,📊 지표로 빠르게 살펴보기 4.1 장마감 의료 쇼핑 막을 5세대 실손 보험 등장 🏥 올해 말 새로운 5세대 실손의료보험이 출시될 예정이에요. 5세대 실손보험은 중증 질환 치료비를 
65,종신보험 그냥 두면 절반 뺏깁니다! 상속세 50% 폭탄 피하는 '이 방법',보험,상,5000,4,"""남편이 30년 전 가입한 종신보험  이제 와서 해지하자니 그동안 부은 돈이 아깝고  계속 붓자니 은퇴 후 보험료가 부담스럽습니다. 자식들도 다 커서 제 앞가림 하는데  굳이 제가"
66,내 집도 아닌데 화재보험 가입은 돈 낭비 아닌가요?,보험,중,1000,2,이럴 때 도움이 되는 것이 바로 ' 주택화재보험 '이에요. 집주인이 화재보험 있으니 안심? 화재 발생 시 책임은 기본적으로 '화재의 원인을 제공한 당사자'에게 있어요. 만약 음식 
67,잇따른 유출 사고에 내 개인정보는 괜찮을까? 사이버 보험으로 안전하게 개인정보 지키기,보험,중,1000,2,이에 ‘사이버 보험’이 기업들의 필수템으로 주목받고 있어요. 풀어야 할 이슈는 : 사이버 보험이 뭔데? 사이버 보험은 사이버 공격으로 인해 기업이 입은 손실을 보상하는 보험 상품이
68,길거리 즉석 수리? 보험처리 거절당할 수 있어요,보험,중,1000,2,당장은 간편하게 수리할 수 있어도 나중에 보험처리는 어려울 수 있어요. 사고난 차를 '어디에서' 수리하느냐에 따라 보험 처리 여부가 달라질 수 있기 때문이에요. 보험사가 수리비를 
69,"자동차보험, 어떻게 하면 더 싸게 가입할 수 있을까?",보험,상,5000,4,자동차보험은 매년 갱신해야 하고 보험료가 지속적으로 인상되기 때문에 운전자에게 부담이 될 수 있어요. 이럴 때 다양한 할인 제도를 잘 활용한다면 보험료에 대한 부담을 줄일 수 있어
70,"‘일상생활배상책임보험’, 어디까지 보장될까?",보험,중,1000,2,이런 보험  들어봤어? 🚨 예상 못 한 사고가 났다면 일상을 살아가다 보면 의도치 않게 사고가 발생하고는 해요. 그런데 이와 관련된 보험이 있다는 사실 알고 계셨나요? 바로 ‘일상
71,내게 꼭 맞는 보험을 찾을 때 도움 되는 질의응답 Top3,보험,중,1000,2,보험료 내는 게 아까운데 꼭 들어야 하나요? A1. 내 소득 수준에 맞는 적절한 보험료를 찾아야 해요! ‘보험료가 아깝다’고 하시는 분들이 많이 있습니다. 특히 사회초년생이라면 더
72,종신보험도 연금처럼 받을 수 있다고? 사망보험금 유동화 이해하기,보험,상,5000,4,사망보험금 유동화 A to Z 💸 사망보험금  연금처럼 수령 다음 달부터 종신보험 가입자도 사망보험금을 생전에 연금처럼 받을 수 있는 사망보험금 유동화 제도가 도입될 예정이에요. 
73,매달 내는 보험료가 아깝다면? 보험의 의미부터 따져보세요,보험,중,3000,3,보험이란 무엇일까요? 🔍 ‘보험은 하나쯤 있어야지!’ 라고 말하지만  정작 보험이 왜 필요한지 물어보면 선뜻 답하기 어려워요. 보험이 왜 필요한지 안다면 어떤 보험을 들어야 할지 
74,클릭 몇 번으로 보험금 뚝딱? 실손보험 청구 서비스 살펴보기,보험,상,5000,4,병원에서 진료받은 뒤 실비 청구를 하려는데 필요한 서류는 많고 보험사 앱을 깔아 일일이 신청하기는 귀찮아 포기한 적 있나요? 정부가 오는 10월부터 실손보험 청구 전산화 서비스를 
75,자동차보험만 가입했는데 운전자보험도 꼭 있어야 하나요?,보험,상,5000,4,“자동차보험만 가입하면 되는 거 아니었어요? 운전자보험은 또 뭐죠?” 둘 다 운전 중 발생할 수 있는 사고를 대비하는 보험이지만  보장 범위나 가입 기준은 꽤 다르답니다. 오늘은 
76,교통사고 후 경찰서행 vs 보험처리 결정짓는 '이것',보험,상,5000,4,교통사고 처리 특례법에 따르면  경미한 사고이면서 자동차 보험에 가입되어 있을 경우 '공소권이 없는 사고'로 분류되어 보험 처리나 개인 간 합의로 마무리할 수 있어요. 하지만 사망
77,드디어 공개된 ‘5세대 실손보험’ 핵심요약!,보험,상,5000,4,5세대 실손보험  연말에 출시돼요 💉 최근 금융당국이 5세대 실손보험 내용을 공개 했어요. 우리가 매달 내는 돈인 ‘보험료’를 낮추는 대신  비중증 비급여 항목에 대한 ‘보험금’이
78,"암보험, 선택일까 필수일까?",보험,상,5000,4,건강보험공단에 신청하면 되는데  암은 등록일로부터 5년간 적용받을 수 있어요. 희귀질환자 의료비 지원 사업 신청을 위해서라도 산정특례는 신청해야 해요. 하지만 산정특례를 받았더라도
79,내 실손보험은 몇 세대일까?,보험,상,5000,4,현직 보험설계사로서 요즘 “4세대 실손보험이 뭔지도 잘 모르겠는데 5세대가 나온다고?” 하는 반응을 자주 접합니다. 기존에 실손보험에 가입했거나 새로 가입을 고려하는 사람 모두에게
80,"펫보험, 가입할 때 체크해야 할 것은?",보험,중,1000,2,반려동물을 위한 보험이 있다? ❓ 펫보험이 뭐야? 펫보험은 사람의 실손의료비 상품처럼 반려동물 치료를 위해 지출한 의료비를 보장해 주는 보험이에요. 반려동물이 동물병원에 입원하거나
81,사망보험금 연금처럼 쓴다?..보험사 뒤에서 웃는 이유,보험,중,1000,2,올해부터 생명보험사에서 가입한 종신보험을 마치 연금처럼 중간에 찾아서 쓸 수 있게 됩니다. 이른바 사망보험금 유동화 제도가 본격 확대 시행하는 것인데요. 이 제도가 소비자에게 어떤
82,"연말맞이 해외여행, 안전하고 즐겁게 보내려면?",보험,중,1000,2,이런 순간을 대비해 해외여행보험을 미리 준비해두면 든든하게 여행을 즐길 수 있어요. 관광지에서 사진을 찍거나 인파에 섞여 이동하는 사이 가방이 사라지거나 소매치기를 당하는 등 도난
83,"자동차 보험료, 이럴 때 올라가요",보험,중,3000,3,자동차를 사면 꼭 해야 하는 일이 바로 자동차보험 가입인데요. 1년마다 갱신해야 하는 자동차보험  어떻게 할인받을 수 있을까요? 📊 자동차보험료 할인과 할증 할인·할증제도의 기본 
84,보험료만 내고 보험금 청구는 미루고 있다면?,보험,중,3000,3,오늘은 보험금을 어떻게 청구해야 하는지 알아볼게요. ‘보험의 효력’이 있는지 확인하세요 📝 보험금을 청구해야 하는 상황이 발생했다면  가장 먼저 ‘보험의 효력이 발생했는지’ 확인해
85,안전장치로 할인? 몰라서 놓쳤던 보험료 아끼는 꿀팁,보험,중,3000,3,매년 갱신해야는 자동차 보험료  조금이라도 줄일 수 있다면 좋겠죠? 이미 차에 장착된 안전장치만으로도 상당한 할인을 받을 수 있어요. 🚗 가장 보편적이면서도 쉽게 할인받을 수 있는
86,중소는 대형 보험사보다 사고현장 출동이 늦다?,보험,중,1000,2,Woody 캐롯손해보험 | 모빌리티보상팀 현장출동/보상 담당 결론부터 말씀드리면 작은 보험사든 큰 보험사든 현장출동 서비스 품질의 차이는 크지 않은 편이에요. 대형 보험사와 중소형
87,이것만 있으면 자동차 보험료 올라갈 걱정은 끝,보험,중,3000,3,교통사고에서 본인 과실이 있을 때 자동차보험으로 치료비를 청구하면 사고 건수가 기록되어 다음 해의 보험료가 할증돼요. 실제로 많은 운전자분들이 보험료 인상 부담 때문에 경미한 사고
88,"늦어도 3년 안에 치료비 청구하면 된다던데, 사실일까?",보험,중,1000,2,김병민 하나손해보험 | 수도권보상팀 교통사고를 당해 병원 진료를 받아야 한다면 최대 3년 이내에 치료받고 청구하는 게 가능해요. 이는 상법상 보험금청구권의 소멸시효가 3년으로 정해
89,"대인접수 해달라 하는 상대방, 저 이제 가해자 확정인가요?",보험,중,1000,2,대인배상은 법정한도까지 보상하는 대인배상Ⅰ(의무보험)과 그 초과분을 보상하는 대인배상Ⅱ(임의보험)로 구분되며  대물배상 또한 의무보험으로 가입 시 2천만원부터 최대 20억원 중 한
90,"사고 났을 때 병원비, 수리비 내돈내산은 이제 그만",보험,중,1000,2,가입한 자동차보험에 접수하면 이를 개인이 직접 부담할 필요가 없어요. 보험사가 병원이나 카센터에 비용 지급을 보증하기 때문이에요. 보험처리의 핵심  접수번호 사고 후 보험 접수를 
91,부른 적 없는 견인차가 왔다면 어떻게 해야할까?,보험,중,1000,2,Woody 캐롯손해보험 │ 모빌리티보상팀 현장출동/보상 담당 🛻 부르지 않은 견인차에 대처하는 방법 사고가 나서 경황이 없을 때 부르지도 않은 견인차가 먼저 와서 차량을 이동하려고
92,교통사고 나면 무조건 신고? vs 안 해도 된다?,보험,상,5000,4,당사자 간 다툼의 여지가 없는 경미한 사고인 경우나 자동차보험에 가입되어 보험 처리가 진행되고 있는 경우라면 굳이 신고하지 않아도 괜찮아요. 🚔 중대한 사고는 예외적으로 신고 의무
93,제 차가 무보험이라고요? 분명 가입했어도 무보험 처리되는 이유,보험,중,1000,2,자동차 있으신 분들  당연히 자동차보험도 다 가입하셨죠? 자동차손해배상보장법에 따라 자동차 보유자는 의무적으로 보험에 가입해야 하고  이를 위반할 경우 법적 처벌을 받게 돼요. 하
94,"장마철 침수된 자동차, 확실하게 보상받으려면?",보험,중,1000,2,🌧 보험 가입 내역에 따라 달라 보험업계에 따르면 지난 7월 16일~22일 사이 집중호우로 인해 접수된 침수차량 피해는 대략 3 800여 건인 것으로 알려졌어요. 침수 피해를 보험
95,"부모님 이름으로 가입하고 운전자범위로 쏙, 불이익은 없을까?",보험,중,1000,2,📉 20대는 보험료가 비싸다? 자동차보험료는 운전 경력  과거 사고 이력에 따라 달라져요. 특히 20대 운전자들은 경험이 적고 사고율이 높다는 통계 때문에 보험료가 높게 책정돼요.
96,"""괜찮겠지?"" 한마디에 수십만원 날아갑니다",보험,중,1000,2,교통사고 후 많은 분들이 바쁘다는 이유로  또는 증상이 경미하다고 느껴 진료를 미루지만  이는 나중에 보험 보상에 큰 문제를 일으킬 수 있어요. 사고 후 시간이 지나면 현재 증상과
97,"자동차 보험료, 내게 맞는 보험사를 만나야 싸져요",보험,중,3000,3,DB손해보험 수석 | 자동차상품 개발 자동차보험은 의무보험이고 보장이 정형화되어 있기 때문에  필수 보장의 경우 보장받는 내용이 회사마다 차이가 나진 않아요. 그래서 보험료가 저렴
98,5월 황금연휴 해외여행 앞두고 있다면? 챙겨야 할 필수품,보험,중,1000,2,‘여행자 보험’은 빠뜨리지 않았나요? 풀어야 할 이슈는 : 안전여행 대비 필수품으로 떠오른 여행자보험 들뜬 마음으로 떠난 해외여행에서 예상치 못한 돌발상황이 일어나기도 해요. 비행
99,보험료 부담된다면 계약 유지 제도 알아봐,보험,중,3000,3,보험 계약 중도 해지  이유는? 💰 경제적 부담이 커 최근 고물가  고금리 상황 속에 가계 부담이 커지면서 보험을 해지하는 사람들이 늘어나고 있어요. 실제 한 보험사가 자사 컨설턴
100,"내 보험인데, 왜 보험금은 다른 사람이 받죠?",보험,중,1000,2,보험 가입 시 약관이나 청약서에서 볼 수 있는 ‘계약자’  ‘피보험자’  ‘수익자’는 많은 분이 혼동하는 용어예요. 얼핏 보면 비슷한 말 같지만  보험 계약 내에서 각자가 가지는 
101,운전자보험의 보장이 축소된다?,보험,중,1000,2,운전자보험의 3대 핵심 담보 중 하나인 변호사선임비용 특약이 12월 중순부터 대폭 축소 예정이에요. 금융당국이 보장 구조 개편을 공식 권고했는데  무엇이 어떻게 달라지는 걸까요? 
102,"보험 잘 챙기면 매년 100만원 이상 돌려받는다. 놓치면 손해, 준비 필수",보험,중,1000,2,💸 보험은 돈 내기만 하고  받기는 힘들다? 흔히들 보험이라는 금융상품은 매월 보험료만 납부하고 실질적으로 그 혜택을 보기는 어렵다고 생각해요. 물론 살면서 몸이 아프거나 큰 사고
103,"보험 드는 것보다, 미국 주식 20년 붓는 게 더 나은 거 아닌가요?",보험,중,1000,2,투자 원금은 240만 원이지만 평가금액은 933만 원 변동성이 큰 미국 주식인 만큼 수익률이 ( - ) 마이너스 이거나 정기예금 수준일 때도 있음 특히 2019년 이후 누적 수익률
104,두쫀쿠 열풍: 달콤함 뒤에 숨겨진 경제와 건강의 두 얼굴,보험,중,1000,2,실제로 건강보험심사평가원 통계에 따르면  2019년부터 2023년까지 5년간 당뇨병 환자 수가 무려 18.6%나 증가했다고 해요. 젊은 층은 당장 뚜렷한 증상이 나타나지 않아 방심
105,"급증하는 고혈압 환자...추워지면 합병증 위험 '최고조', 지금이 대비할 때",보험,중,1000,2,이러한 상황에 대비하기 위해 최근에는 고혈압과 같은 만성질환을 앓고 있는 유병력자들도 가입할 수 있는 보험 상품들이 크게 주목받고 있어요. 과거에는 병력 때문에 보험 가입이 어려웠
106,"기적의 비만 치료제 위고비, 마운자로 맞고 실손으로 돈 돌려받을 수 있을까?",보험,중,1000,2,하지만 비싼 가격 때문에 실손보험으로 비용을 돌려받을 수 있을지 궁금해하시는 분들이 참 많은데요. 결론부터 말씀드리면  단순히 살을 빼려는 미용 목적이라면 실손보험 보상을 받기가 
107,"겨울철 골칫거리, 동파로 우리집에 피해를 입었다면?",보험,중,1000,2,가입한 화재보험에 급배수시설 누출 손해 특약이 있는지 없는지. 그럼 급배수시설 누출 손해 특약이 무엇인지 알아볼까요? 수조  수도관  보일러 배관 등에서 물이 새어 나와 우리집 건
108,건강검진에서 용종 제거하셨다면 꼭 확인하세요,보험,중,1000,2,이때 건강검진 비용 외에 추가로 수술비용이 청구되는데  이 추가 비용은 보험 처리가 가능할까요? 예방 목적의 건강검진 비용은 실손보험 보장 대상이 아니지만  용종 제거는 '치료' 
109,"월 보험료 5만원, 10만원쯤이야? 사실은 차 한 대 값",보험,중,3000,3,매월 소액의 보험료를 내고 있는 분들이 많아요. 월 보험료가 1만원부터 10만원 사이인 경우  웬만한 휴대전화 통신비용 정도라 다들 대수롭지 않게 지출하는 경우가 많아요. 하지만 
110,"딱 1명의 말만 듣고 가입했다면, 나만 가성비 놓친 건 아닌지 점검 필수",보험,중,1000,2,혹시 나도 보험 팔랑귀? 보험 어떻게 가입하셨나요 💭 “설계사님이 이게 좋대서요.” “엄마가 이거 들면 된다고 했어요.” 혹시 나도 이처럼 딱 한 명의 말만 듣고 ‘그냥 그런가 보
111,10년 넣은 연금저축보험 대신 연금저축펀드로 갈아탄 이유는?,보험,중,1000,2,10년 전 박부장이 추천해서 가입했던 연금저축보험 수익률이 10년이나 지난 만큼 제법 될 줄 알았는데 이게 웬걸  원금에 이자 조금 더해진 수준이었던 거예요. ‘이럴 거면 그 돈으
112,노후대비에 종신보험을 활용하는 방법,보험,상,5000,4,‘종신보험’이라고 하면 남은 가족의 생활을 위해 가입하는  사망보험금으로 많이 알고 계실 텐데요. 종신보험은 노후 대비를 위한 수단으로도 활용됩니다. 지금부터 그 이유를 알아볼게요
113,보험 들기 전에 연금부터 알아야 하는 이유,보험,중,1000,2,노후 대비 수단으로 종신보험을 알아보는 분이 많아요. 그런데 종신 보험을 노후대비에 효과적으로 활용하기 위해서는  먼저 연금을 이해해야 합니다. 노후대비의 기초는 연금이기 때문에 
114,"2년 납입한 10년 만기 연금보험 상품, 해약해도 될까요?",보험,중,1000,2,연금저축보험 해지하는 게 좋을까요? 만 30세까지 1억 원을 모으고  대출받아 인천이나 부천 지역의 24평 아파트를 매매하는 것이 목표예요. 그런데 개인연금저축 상품에 묶이는 현금
115,숨만 쉬어도 월300 들어오는 '수도꼭지' 5개 만드는 법,보험,중,1000,2,유지비(주유  보험  세금 등)와 감가상각비를 합치면 월 120만 원 정도가 차에 들어갑니다. 월급 300만 원 직장인이 쏘렌토를 뽑는 순간  실질 소득은 180만 원으로 줄어듭니
116,리츠 ‘배당소득세 15.4%’…“설마 모두 내고 있나요?”,보험,중,1000,2,구체적으로 살펴보면 연금저축 계좌는 보험  은행  증권사를 통해 만들 수 있습니다. 각 창구에 따라 연금저축보험  연금저축신탁  연금저축펀드 등으로 상품명이 나뉩니다(미세하게 다르
117,미리 알아두면 도움 될 절세 금융상품 관련 개정안,보험,중,1000,2,시니어 투자자를 위한 ‘투자 포트폴리오’ 한 씨는 이자소득이나 배당소득 같은 금융소득이 세금뿐 아니라 국민건강보험료에도 영향을 미치는 것을 잘 알고 있다. 그래서 특히 절세 계좌 
118,"사회 초년생도 가능한 전세대출, 조건과 절차 총정리",보험,중,1000,2,보증 보험 가입은 필수 🦺 보증보험 가입은 필수 소중한 전세 보증금을 지키기 위해선 전세보증금 반환 보증보험 가입은 필수예요. 전세금 반환 보증은 전세보증금 반환이 불가능한 집주인
119,환율∙집값 상승세 지켜봐야 해! 한은 기준금리 4연속 연 2.5% 동결 (11.27),보험,중,1000,2,특히 육류∙미용∙보험 항목에서 지출이 크게 줄었어요. 게다가 주택담보대출 이자 부담도 1년 전보다 14.3% 급증하며 소비를 억눌렀다고 해요. 인천시  신혼부부에 ‘천원복비’ 지원
120,퇴직연금 고수들의 수익률은?,보험,중,1000,2,금융감독원은 3년 이상 계좌 유지  적립금 1 000만원 이상인 DC 가입자 중 권역별(은행·증권·보험)  연령대별(5개 구간) 수익률 상위 100명씩 총 1 500명을 '퇴직연금
121,"15년 만에 한국 찾은 엔비디아 CEO, 한국에서의 일정은? (10.30)",보험,중,1000,2,추가로 3년 동안 통신 금융 사기 피해를 보상하는 ‘안전 안심 보험’을 제공하고  고객이 원할 경우 15만 원어치의 통신 요금 할인이나 단말 교체비 할인 중 하나를 지원하기로 했어
122,"비상장법인 주주인 배우자의 주식 처분,  최적의 절세 전략은?",보험,중,1000,2,결론적으로 배우자가 보유한 비상장주식을 현금화 할 때  양도와 감자 방식 중 어느 것이 유리한지 판단하기 위해서는 예상 세금 부담을 계산해보고 부대 비용(법무사·세무사 비용  4대
123,"퇴직연금, 이것만 알아도 충분해요!",보험,중,1000,2,퇴직연금을 실제로 운용하려면 IRP를 이해해야 해요 IRP(Individual Retirement Pension)는 ‘개인형 퇴직연금’ 계좌로  회사와 상관없이 내가 개인적으로 은
124,사망보험금을 생전에 연금으로 활용하는 사망보험금 유동화,보험,중,1000,2,그러던 중 언론에서 가입 중인 종신보험을 살아생전에 연금으로 쓰고 일부 사망보험금은 자녀들에게 상속할 수 있다는 내용을 보고  구체적 활용 방법을 알고 싶어 상담을 신청해왔다. 노
125,금과 부동산이 같은 카테고리라고?,보험,중,1000,2,예를 들어 부동산은 중개수수료  등기비용  취득세  보유세 등 다양한 비용이 따르고  금이나 예술품도 보관·운송·보험 등 부수적 비용이 커요. 금융자산은 상대적으로 매매 수수료 외
126,국민연금의 투자 포트폴리오가 핫한 이유,보험,중,1000,2,그래서 우리나라 사람들은 ‘4대보험’이 되는 직장인이 되는 순간 자동적으로 국민연금에 가입돼요. 국민연금기금운용본부는 연금보험료를 모아 여러 나라에 투자한 후  운용 수익으로 만 
127,"내 퇴직연금, 놀리지 않고 굴려야 한다고?",보험,중,1000,2,우리가 일상적으로 접할 수 있는 ‘은행 예금’과 ‘원금 보장형 보험’ 등이 대표적인 비금융투자상품이에요. 재테크 이야기를 나올 때 비로소 등장하는 ‘주식’이나 ‘채권’이 바로 대표
128,"강남 3구∙용산 토지거래허가구역으로 재지정, 이번에 추가된 8곳은?",보험,중,1000,2,삼성전자와 SK하이닉스 등 반도체주가 큰 폭으로 내렸고  건설∙보험∙증권 업종도 하락했어요. 이날 개인 투자자들이 다시 주식을 사들이기 시작했지만  하락을 막기엔 역부족이었어요. 
129,"오라클 주가, 시간외서 27% 폭등!",보험,중,1000,2,🏢 유나이티드헬스그룹  주가 9% 급등 유나이티드헬스그룹의 최고 등급 메디케어 보험 가입자 수가 회사 예상치가 부합할 것으로 전망된다는 소식에 주가가 8.6% 상승했어요. 이에 따
130,포트폴리오 리밸런싱과 양치질의 공통점은?,보험,중,1000,2,목표와 기간을 문장으로 적어두자 보험 설계를 할 때 ‘보장 목적’을 적듯이  투자에서도 목적을 문장으로 남겨요. ‘암 진단을 받았을 때 수술비를 마련하고 간병비 1년어치 준비’처럼
