구분,상태,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,H2-1,H2-2,H2-3,H2-4,카테고리,비고
Spoke-14,신규,개인회생 회생위원 보수 비용,개인회생-회생위원-보수,개인회생 회생위원,회생위원 보수,회생위원 비용,감독위원 수당,개인회생 회생위원은 누구인가요?,회생위원 보수는 얼마인가요?,회생위원 비용은 누가 내나요?,감독위원 수당은 어떻게 되나요?,금융/채무,예납금에 포함되어 법원이 지급
Spoke-15,신규,개인회생 비용 분할납부 면제 감면,개인회생-비용-분할납부,개인회생 비용 분할,예납금 분할납부,비용 면제,비용 감면,개인회생 비용을 나눠 낼 수 있나요?,예납금 분할납부는 가능한가요?,비용 면제는 어떤 경우에 되나요?,비용 감면 신청은 어떻게 하나요?,금융/채무,법원 허가 시 분할납부 가능
Spoke-16,신규,개인회생 신청비용 전액 총비용,개인회생-신청비용-총액,개인회생 신청비용,개인회생 총비용,개인회생 전체 비용,개인회생 들어가는 돈,개인회생 신청비용은 총 얼마인가요?,개인회생 총비용은 어떻게 계산하나요?,개인회생 전체 비용이 궁금해요,개인회생 들어가는 돈은 얼마나 되나요?,금융/채무,인지대+예납금+변호사비(선택) = 약 100~300만원
Spoke-17,신규,개인회생 변제계획안 작성 제출,개인회생-변제계획안-작성,개인회생 변제계획안,변제계획안 작성,변제계획안 제출,변제계획 수립,개인회생 변제계획안은 뭔가요?,변제계획안 작성은 어떻게 하나요?,변제계획안 제출 기한은 언제인가요?,변제계획은 어떻게 수립하나요?,금융/채무,개시결정 후 14일 이내 제출
Spoke-18,신규,개인회생 변제기간 변제율 상환,개인회생-변제기간-변제율,개인회생 변제기간,개인회생 변제율,개인회생 상환기간,변제 기간 단축,개인회생 변제기간은 얼마나 되나요?,개인회생 변제율은 어떻게 정해지나요?,개인회생 상환기간은 줄일 수 있나요?,변제 기간 단축은 가능한가요?,금융/채무,3~5년 / 변제율은 채무자 상황에 따라
Hub-3,신규,개인회생 면책 종료 효력 불허사유,개인회생-면책-종료,개인회생 면책,개인회생 종료,개인회생 면책 효력,면책 불허사유,개인회생 면책은 언제 되나요?,개인회생이 종료되면 어떻게 되나요?,개인회생 면책 효력은 뭔가요?,면책 불허사유는 어떤 게 있나요?,금융/채무,허브 3 - 면책/종료 관련 (7개)
Spoke-19,신규,개인회생 면책결정 조건 시기,개인회생-면책결정-조건,개인회생 면책결정,개인회생 면책 조건,면책 시기,면책결정 효력,개인회생 면책결정은 언제 나나요?,개인회생 면책 조건은 뭔가요?,면책 시기는 언제인가요?,면책결정 효력은 어디까지인가요?,금융/채무,변제계획 인가 후 성실 이행 시
Spoke-20,신규,개인회생 면책 범위 효과 예외,개인회생-면책-범위,개인회생 면책 범위,면책 효과,면책 예외,면책 제외채권,개인회생 면책 범위는 어디까지인가요?,면책 효과는 어떻게 되나요?,면책 예외는 어떤 게 있나요?,면책 제외채권은 뭐가 있나요?,금융/채무,조세채권/벌금/양육비 등은 면책 제외
Spoke-21,신규,개인회생 면책불허가 사유 취소,개인회생-면책불허-사유,개인회생 면책불허,면책 취소,면책 불허사유,면책 거부,개인회생 면책이 안 되는 경우는 뭔가요?,면책 취소는 어떤 경우에 되나요?,면책 불허사유는 뭐가 있나요?,면책 거부 사유는 어떻게 되나요?,금융/채무,사기적 채무/재산 은닉/의무 위반 등
Spoke-22,신규,개인회생 종료 후 신용회복 대출,개인회생-종료-후-신용회복,개인회생 종료 후,개인회생 신용회복,면책 후 대출,개인회생 완료,개인회생 종료 후에는 어떻게 되나요?,개인회생 신용회복은 얼마나 걸리나요?,면책 후 대출은 가능한가요?,개인회생 완료 후 주의사항은 뭔가요?,금융/채무,5년 후 신용정보 삭제
Spoke-23,신규,개인회생 폐지 결정 각하 사유,개인회생-폐지-각하,개인회생 폐지,개인회생 각하,절차 폐지,개인회생 중단,개인회생이 폐지되는 경우는 뭔가요?,개인회생 각하 사유는 어떻게 되나요?,절차 폐지는 언제 되나요?,개인회생이 중단되면 어떻게 되나요?,금융/채무,변제 불이행/재산 은닉 발각 시
Spoke-24,신규,개인회생 이의신청 항고 불복,개인회생-이의신청-항고,개인회생 이의신청,개인회생 항고,법원 결정 불복,즉시항고 기간,개인회생 이의신청은 어떻게 하나요?,개인회생 항고는 가능한가요?,법원 결정에 불복하려면 어떻게 하나요?,즉시항고 기간은 얼마나 되나요?,금융/채무,결정문 송달 후 1주일 이내
Spoke-25,신청,개인회생 재신청 가능 기간 조건,개인회생-재신청-가능,개인회생 재신청,개인회생 다시 신청,재신청 가능 기간,면책 후 재신청,개인회생 재신청은 가능한가요?,개인회생 다시 신청할 수 있나요?,재신청 가능 기간은 얼마나 되나요?,면책 후 재신청은 언제부터 되나요?,금융/채무,면책 후 즉시 가능 (파산과 달리)
Hub-4,신규,개인회생 vs 개인파산 차이 비교,개인회생-vs-개인파산,개인회생 개인파산 차이,개인회생 파산 비교,개인회생 장단점,개인파산 장단점,개인회생과 개인파산 차이는 뭔가요?,개인회생 vs 파산 중 어떤 걸 선택해야 하나요?,개인회생 장단점은 뭔가요?,개인파산 장단점은 어떻게 되나요?,금융/채무,허브 4 - 비교 관련 (5개)
Spoke-26,신규,개인회생 개인파산 차이점 선택,개인회생-개인파산-차이,개인회생 개인파산 차이,파산 회생 비교,개인회생 선택,개인파산 선택,개인회생과 개인파산 차이는 뭔가요?,파산과 회생을 어떻게 비교하나요?,개인회생을 선택하는 게 나은가요?,개인파산을 선택해야 하는 경우는 언제인가요?,금융/채무,회생=채무조정 / 파산=채무면제
Spoke-27,신규,개인회생 워크아웃 프리워크아웃 비교,개인회생-워크아웃-비교,개인회생 워크아웃,개인회생 프리워크아웃,워크아웃 차이,신용회복위원회,개인회생과 워크아웃 차이는 뭔가요?,개인회생 프리워크아웃은 어떻게 다른가요?,워크아웃과 차이점은 뭔가요?,신용회복위원회 지원도 있나요?,금융/채무,워크아웃=사적채무조정 / 회생=법적채무조정
Spoke-28,신규,개인회생 장점 단점 불이익,개인회생-장점-단점,개인회생 장점,개인회생 단점,개인회생 불이익,개인회생 부작용,개인회생 장점은 뭔가요?,개인회생 단점은 어떤 게 있나요?,개인회생 불이익은 뭔가요?,개인회생 부작용은 없나요?,금융/채무,장점=재산 유지 / 단점=3~5년 변제 부담
Spoke-29,신규,개인파산 신청자격 조건 절차,개인파산-신청자격-절차,개인파산 신청자격,개인파산 조건,개인파산 절차,파산 신청방법,개인파산 신청자격은 어떻게 되나요?,개인파산 조건은 뭔가요?,개인파산 절차는 어떻게 하나요?,파산 신청방법은 개인회생과 다른가요?,금융/채무,지급불능 상태 + 변제 능력 없음
Spoke-30,신규,개인회생 신청 전 체크리스트 준비,개인회생-신청-전-체크리스트,개인회생 신청 전,개인회생 준비,개인회생 체크리스트,개인회생 확인사항,개인회생 신청 전에 뭘 확인해야 하나요?,개인회생 준비는 어떻게 하나요?,개인회생 체크리스트가 있나요?,개인회생 확인사항은 뭐가 있나요?,금융/채무,자격 확인→서류 준비→비용 마련→변호사 상담
