번호,카테고리,타이틀,슬러그,키워드1,키워드2,키워드3,키워드4,description,H2-1,H2-2,H2-3,H2-4,상태,파일타입
162,법률,임금체불 신고 방법 절차 | 고용노동부 진정 처리 기간 결과,임금체불-신고-방법-절차,임금체불 신고 방법,고용노동부 진정,처리 기간,임금체불 결과,"월급을 못 받았다면 고용노동부에 신고해서 받을 수 있다는 거 아시나요? 임금체불 신고 방법과 처리 기간을 알려드려요.",임금체불 신고 방법은 어떻게 되나요?,임금체불 고용노동부 진정 처리 기간은 얼마나 되나요?,임금체불 신고 후 결과는 어떻게 되나요?,임금체불 소멸시효는 얼마인가요?,신규,wiki-md
163,법률,근로계약서 미작성 신고 방법 | 구두 계약 효력 과태료 처벌 기준,근로계약서-미작성-신고,근로계약서 미작성,신고 방법,구두 계약 효력,과태료 처벌,"근로계약서를 안 쓴 사장은 500만 원 과태료를 받는다는 거 알고 계셨나요? 신고 방법과 구두 계약 효력을 알려드려요.",근로계약서 미작성 신고 방법은 어떻게 되나요?,근로계약서 미작성 과태료는 얼마인가요?,근로계약서 없는 구두 계약의 효력은 어떻게 되나요?,근로계약서 미작성 처벌 기준은 무엇인가요?,신규,wiki-md
164,근로/노동,연장근로 수당 계산법 | 주52시간 초과 1.5배 할증 야간 휴일 수당,연장근로-수당-계산법,연장근로 수당 계산,주52시간 초과,1.5배 할증,야간 휴일 수당,"야근을 해도 수당을 못 받고 있다면 1.5배 할증을 청구할 수 있어요. 연장·야간·휴일 수당 계산법을 알려드려요.",연장근로 수당 계산법은 어떻게 되나요?,주52시간 초과 수당은 어떻게 계산하나요?,야간근로 수당 계산 방법은 어떻게 되나요?,휴일근로 수당 계산 방법은 어떻게 되나요?,신규,wiki-md
165,근로/노동,업무상 재해 산재보험 신청 방법 | 인정 기준 처리 기간 급여 계산,산재보험-신청-방법-인정-기준,업무상 재해 산재,산재보험 신청 방법,인정 기준,처리 기간 급여,"직장에서 다쳤다면 산재보험으로 치료비와 휴업급여를 받을 수 있어요. 신청 방법과 인정 기준을 알려드려요.",업무상 재해 산재보험 신청 방법은 어떻게 되나요?,산재보험 업무상 재해 인정 기준은 무엇인가요?,산재보험 처리 기간은 얼마나 걸리나요?,산재보험 급여 종류와 금액은 어떻게 되나요?,신규,wiki-md
166,근로/노동,육아기 근로시간 단축 신청 조건 | 급여 지원금 계산 단축 기간,육아기-근로시간-단축-신청,육아기 근로시간 단축,신청 조건,급여 지원금 계산,단축 기간,"육아기 근로시간 단축을 쓰면 줄어든 급여를 정부가 지원해준다는 거 아시나요? 신청 조건과 지원금 계산을 알려드려요.",육아기 근로시간 단축 신청 조건은 무엇인가요?,육아기 근로시간 단축 급여 지원금은 얼마인가요?,육아기 근로시간 단축 기간은 얼마나 되나요?,육아기 근로시간 단축 신청 방법은 어떻게 되나요?,신규,wiki-md
167,근로/노동,직장 내 괴롭힘 신고 방법 | 고용노동부 처리 절차 보호 규정,직장-내-괴롭힘-신고-방법,직장 내 괴롭힘 신고,고용노동부 처리 절차,피해자 보호 규정,괴롭힘 처벌,"직장 내 괴롭힘을 당하면 고용노동부에 신고해서 보호받을 수 있어요. 신고 방법과 처리 절차를 알려드려요.",직장 내 괴롭힘 신고 방법은 어떻게 되나요?,고용노동부 직장 내 괴롭힘 처리 절차는 어떻게 되나요?,직장 내 괴롭힘 피해자 보호 규정은 무엇인가요?,직장 내 괴롭힘 행위자 처벌은 어떻게 되나요?,신규,wiki-md
168,금융,신용점수 올리는 방법 빠르게 | 카드 연체 납부 실적 점수 영향,신용점수-올리는-방법,신용점수 올리는 방법,카드 연체 영향,납부 실적,신용점수 영향,"신용점수가 낮으면 대출 금리가 올라간다는 거 알고 계세요? 빠르게 올리는 방법과 점수에 영향을 주는 요소를 알려드려요.",신용점수 올리는 방법은 무엇인가요?,카드 연체가 신용점수에 미치는 영향은 얼마나 되나요?,신용점수 납부 실적은 어떻게 반영되나요?,신용점수 빠르게 올리는 실전 방법은 무엇인가요?,신규,wiki-md
169,금융,전세보증금 반환보증 가입 조건 | HUG 보증료 계산 신청 방법,전세보증금-반환보증-가입-조건,전세보증금 반환보증,HUG 보증 가입,보증료 계산,신청 방법,"전세 사기가 걱정되신다면 HUG 전세보증금 반환보증에 가입해두세요. 가입 조건과 보증료 계산을 알려드려요.",전세보증금 반환보증 가입 조건은 무엇인가요?,HUG 전세보증금 반환보증 보증료는 얼마인가요?,전세보증금 반환보증 신청 방법은 어떻게 되나요?,전세보증금 반환보증 가입 제외 대상은 누구인가요?,신규,wiki-md
170,금융,주택담보대출 중도상환 수수료 | 3년 이후 면제 계산 방법 절감,주택담보대출-중도상환-수수료,중도상환 수수료,3년 이후 면제,수수료 계산 방법,중도상환 절감,"주택담보대출을 3년 안에 갚으면 수수료를 내야 한다는 거 알고 계셨나요? 계산 방법과 절감 방법을 알려드려요.",주택담보대출 중도상환 수수료란 무엇인가요?,중도상환 수수료 계산 방법은 어떻게 되나요?,중도상환 수수료 면제 조건은 무엇인가요?,중도상환 수수료 절감 방법은 무엇인가요?,신규,wiki-md
171,금융,적금 이자 세금 계산 방법 | 이자소득세 15.4% 비과세 절세 상품,적금-이자-세금-계산,적금 이자 세금,이자소득세 15.4%,비과세 상품,절세 방법,"적금 이자에서 15.4%가 세금으로 빠져나간다는 거 알고 계셨나요? 세금 계산법과 비과세 절세 상품을 알려드려요.",적금 이자 세금 계산 방법은 어떻게 되나요?,이자소득세 15.4%는 어떻게 부과되나요?,적금 비과세 상품에는 어떤 것이 있나요?,적금 이자 절세 방법은 무엇인가요?,신규,wiki-md
