# 묶음 실행 목록 — 줄마다: slug | 타이틀 | 소제목 A / B / C | 카테고리 | 조문(고용보험법:40,45; 민법:840) | URL(공백 구분)
# npm run article -- --batch <이 파일> --parallel 3
# 조문·URL 을 비우면 타이틀·소제목을 보고 고르는 짧은 호출이 하나 붙는다. 주는 쪽이 낫다.
오래된-가압류-해제-방법 | 오래된 가압류 해제 방법과 소멸시효, 취소 신청부터 법원 접수까지 | 오래된 가압류는 어떻게 해제하나요? / 가압류에도 소멸시효가 있나요? / 가압류 취소 신청은 어떻게 하나요? / 법원 접수 방법과 필요 서류 | 법률
이혼-결혼-취소-성적-불능 | 성적 불능 혼인취소 사유와 청구 기한, 이혼과 차이 그리고 신청 방법 | 성적 불능이 혼인취소 사유가 되나요? / 청구 기한은 언제까지인가요? / 이혼과 혼인취소는 뭐가 다른가요? / 혼인취소 신청 방법 | 법률
이혼-취소-가능-여부 | 이혼 취소 가능한가요, 협의이혼 철회 기한과 재판상 이혼 확정 후 | 한 번 한 이혼을 취소할 수 있나요? / 협의이혼 철회는 언제까지 되나요? / 재판상 이혼 확정 후에도 가능한가요? / 취소 신청 방법과 사유 | 법률
이혼-미성년자-결혼-가능 | 미성년자 이혼 후 재혼 조건, 성년의제와 부모 동의 그리고 혼인 연령 | 미성년자도 이혼할 수 있나요? / 이혼하면 성년의제는 유지되나요? / 재혼에 부모 동의가 필요한가요? / 혼인 가능 연령은 몇 살인가요? | 법률
이혼-무료-법률상담-소송구조 | 이혼 무료 법률상담과 소송구조, 대상 조건과 필요 서류부터 신청 방법까지 | 이혼 무료 법률상담은 어디서 받나요? / 소송구조 대상 조건은 무엇인가요? / 필요한 서류는 무엇인가요? / 소송구조 신청 방법 | 법률
이혼-소송-증거-제시-필요 | 이혼 소송 증거 꼭 필요한가요, 인정되는 증거와 위법 수집 그리고 제출 시기 | 이혼 소송에 증거가 꼭 필요한가요? / 어떤 증거가 인정되나요? / 몰래 수집한 증거도 효력이 있나요? / 증거 제출 방법과 시기 | 법률
이혼-혼인중-별거-내연관계-위자료 | 별거 중 외도 위자료 청구, 혼인파탄 판단 시점과 상간자 책임 범위 | 별거 중 외도도 위자료를 청구할 수 있나요? / 혼인파탄 시점은 어떻게 판단하나요? / 상간자에게도 책임을 물을 수 있나요? / 위자료 청구 범위와 금액 | 법률
이혼-청구-외도-책임 | 외도 배우자에게 이혼 청구, 유책배우자 제한과 청구권 포기 효력 | 외도한 배우자에게 이혼을 청구할 수 있나요? / 유책배우자는 이혼 청구가 제한되나요? / 이혼청구권을 포기하면 어떻게 되나요? / 포기 후에도 위자료는 받나요? | 법률
이혼-시부모-고부갈등-사유 | 고부갈등 이혼 사유 되나요, 법원 판단 기준과 시부모 위자료 그리고 증거 | 고부갈등도 이혼 사유가 되나요? / 법원은 무엇을 기준으로 판단하나요? / 시부모에게 위자료를 청구할 수 있나요? / 증거는 어떻게 남기나요? | 법률
이혼-빚-공동-부담-여부 | 이혼할 때 빚도 나누나요, 공동채무 기준과 일상가사채무 그리고 분담 비율 | 이혼하면 배우자 빚도 갚아야 하나요? / 공동채무는 어떻게 판단하나요? / 일상가사채무란 무엇인가요? / 분담 비율은 어떻게 정해지나요? | 법률
재산분할-공동명의-대출-부담 | 재산분할 공동명의 대출 부담, 명의와 실제 채무자 그리고 은행 동의 | 공동명의 대출은 누가 갚나요? / 명의와 실제 채무자가 다르면? / 분할 후 대출은 어떻게 정리하나요? / 은행 동의 없이 변경되나요? | 법률
재산분할-대상-범위 | 재산분할 대상 범위, 특유재산과 공동재산 구분 그리고 제외되는 재산은? | 재산분할 대상은 어디까지인가요? / 특유재산도 포함되나요? / 공동재산은 어떻게 구분하나요? / 분할에서 제외되는 재산은? | 법률
재산분할-법원-비율-기준 | 재산분할 비율 법원 기준, 기여도 판단과 전업주부 그리고 혼인 기간 | 재산분할 비율은 어떻게 정해지나요? / 기여도는 무엇으로 판단하나요? / 전업주부는 얼마나 인정받나요? / 혼인 기간이 비율에 영향을 주나요? | 법률
이혼-퇴직금-재산분할-대상 | 이혼 퇴직금 재산분할 대상, 수령 전과 후 기준 그리고 산정 방법 | 퇴직금도 재산분할 대상인가요? / 아직 안 받은 퇴직금은 어떻게 되나요? / 이미 받은 퇴직금은 어떻게 나누나요? / 분할 금액은 어떻게 산정하나요? | 법률
이혼-시부모-증여-토지-분할대상 | 시부모가 증여한 토지 재산분할, 특유재산 판단과 기여도 인정 기준 | 시부모가 준 토지도 나눠야 하나요? / 특유재산으로 인정되나요? / 기여도가 있으면 분할되나요? / 증여 시점이 판단에 영향을 주나요? | 법률
재산분할-혼인신고-전-재산-포함 | 혼인신고 전 재산 분할 대상인가요, 부부재산계약과 사실혼 기간 인정 | 혼인신고 전 재산도 분할 대상인가요? / 부부재산계약을 맺으면 어떻게 되나요? / 계약은 언제까지 해야 효력이 있나요? / 사실혼 기간도 인정되나요? | 법률
이혼-재산명의-일방-분할청구 | 배우자 명의 재산도 분할되나요, 명의와 실질 소유 그리고 청구 방법 | 배우자 단독 명의 재산도 분할되나요? / 명의와 실질 소유가 다르면? / 내 기여를 어떻게 입증하나요? / 분할 청구 방법과 시기 | 법률
이혼-재산분할-협의-불가-대응 | 재산분할 협의가 안 될 때, 심판청구 절차와 필요 서류 그리고 관할 법원 | 협의가 안 되면 어떻게 하나요? / 재산분할 심판청구 절차는? / 필요한 서류는 무엇인가요? / 어느 법원에 청구하나요? | 법률
재산분할-심판청구-기각-가능 | 재산분할 심판청구 기각 사유, 각하와 차이 그리고 기각 후 대응 | 재산분할 심판청구도 기각되나요? / 기각 사유는 무엇인가요? / 각하와 기각은 뭐가 다른가요? / 기각되면 어떻게 대응하나요? | 법률
재산분할-청구권-소멸시효 | 재산분할 청구 기한 2년, 제척기간 기산점과 지나면 어떻게 되나요 | 재산분할 청구 기한은 몇 년인가요? / 2년은 언제부터 계산하나요? / 소멸시효와 제척기간은 뭐가 다른가요? / 기한이 지나면 청구할 수 없나요? | 법률
이혼-소송중-재산분할-합의-효력 | 이혼 소송 중 재산분할 합의 효력, 서면 작성과 번복 가능 여부 | 소송 중 합의도 효력이 있나요? / 서면으로 남겨야 하나요? / 나중에 번복할 수 있나요? / 합의할 때 주의할 점 | 법률
재산분할-이혼-부동산-취득세-양도소득세 | 이혼 재산분할 부동산 취득세와 양도소득세, 세율과 비과세 요건 | 재산분할로 받은 부동산도 취득세를 내나요? / 취득세 세율은 얼마인가요? / 양도소득세는 언제 부과되나요? / 비과세로 인정되는 요건은? | 법률
이혼-전-재산-빼돌림-대비 | 이혼 전 배우자 재산 은닉 대응, 재산명시와 금융거래정보 조회 방법 | 배우자가 재산을 빼돌리면 어떻게 하나요? / 재산명시 신청은 어떻게 하나요? / 금융거래정보 조회가 되나요? / 은닉 재산을 찾는 방법 | 법률
재산분할-가압류-신청-가능 | 이혼 재산분할 가압류 신청, 보전 요건과 담보 제공 그리고 신청 시기 | 이혼 전에 배우자 재산을 가압류할 수 있나요? / 보전 필요성은 어떻게 소명하나요? / 담보는 얼마를 제공하나요? / 언제 신청해야 하나요? | 법률
이혼-별거-중-양육비-청구 | 별거와 소송 중 양육비 청구, 사전처분과 산정 기준표 그리고 신청 방법 | 별거 중에도 양육비를 청구할 수 있나요? / 소송 중 사전처분은 어떻게 신청하나요? / 양육비 산정 기준표는 어떻게 보나요? / 양육비 청구 신청 방법 | 법률
이혼-친권자-양육자-자동-지정 | 이혼 친권자 양육자 지정 기준, 자동 지정 여부와 법원 판단 요소 | 친권자와 양육자는 자동으로 정해지나요? / 친권과 양육권은 뭐가 다른가요? / 법원은 무엇을 기준으로 정하나요? / 지정 후 변경할 수 있나요? | 법률
이혼소송-중-면접교섭권-방해-대응 | 면접교섭권 방해 대응, 이행명령과 과태료 그리고 양육자 변경 청구 | 상대가 아이를 못 만나게 하면? / 이행명령은 어떻게 신청하나요? / 과태료는 얼마인가요? / 양육자 변경까지 청구할 수 있나요? | 법률
개인파산-면책-신청비용-계산-방법 | 개인파산 면책 신청비용, 인지대 송달료 예납금과 소송구조 면제 신청 | 개인파산 면책 신청비용은 얼마인가요? / 인지대와 송달료는 얼마인가요? / 파산관재인 예납금은 얼마인가요? / 소송구조로 면제받는 방법 | 법률
개인파산-면책-신청서-제출-법원-관할 | 개인파산 면책 신청서 제출 법원, 관할 기준과 주소 이전 그리고 제출 방법 | 개인파산 신청서는 어느 법원에 내나요? / 관할은 무엇을 기준으로 정하나요? / 주소를 옮기면 관할이 바뀌나요? / 전자소송과 방문 제출 방법 | 법률
개인파산-면책절차-진행-방법 | 개인파산 면책절차 진행 순서, 심문기일과 심리 기간 그리고 면책 결정 | 개인파산 면책절차는 어떤 순서로 진행되나요? / 심문기일에는 무엇을 묻나요? / 심리 기간은 얼마나 걸리나요? / 면책 결정은 언제 나오나요? | 법률
파산선고-동시폐지-의미-관재인-차이 | 파산선고 동시폐지 뜻, 관재인 선임과 차이 그리고 갈리는 기준 | 동시폐지란 무엇인가요? / 관재인 선임 사건과 뭐가 다른가요? / 어떤 기준으로 갈리나요? / 동시폐지면 절차가 얼마나 빨라지나요? | 법률
파산신청-기각-사유-요건-부족 | 파산신청 기각 사유와 요건 부족, 보정명령 대응과 재신청 방법 | 파산신청이 기각되는 사유는? / 요건이 부족하면 바로 기각되나요? / 보정명령은 어떻게 대응하나요? / 기각 후 재신청 방법 | 법률
개인회생-변제계획-미이행-면책-가능-조건 | 개인회생 변제금을 못 내면, 폐지 기준과 면책 조건 그리고 변제계획 변경 | 변제금을 못 내면 개인회생이 취소되나요? / 몇 회 미납하면 폐지되나요? / 미이행해도 면책받을 수 있나요? / 변제계획 변경 신청 방법 | 법률
무보험-교통사고-과실 | 무보험 교통사고 과실 비율, 인정 기준과 손해배상 그리고 정부보장사업 | 무보험 사고에서 과실 비율은 어떻게 정하나요? / 과실 인정 기준은 무엇인가요? / 손해배상은 누구에게 청구하나요? / 정부보장사업으로 받을 수 있나요? | 법률
무보험-교통사고-형사처벌 | 무보험 운전 형사처벌, 벌금과 징역 기준 그리고 사고 시 가중 처벌 | 무보험 운전만으로도 처벌되나요? / 벌금은 얼마인가요? / 징역까지 가는 경우는? / 사고가 나면 처벌이 어떻게 달라지나요? | 법률
뺑소니-무보험-사고-대처법 | 뺑소니 무보험 사고 보상, 정부보장사업 신청과 보상 한도 그리고 필요 서류 | 가해자를 못 찾아도 보상받나요? / 정부보장사업은 어떻게 신청하나요? / 보상 한도는 얼마인가요? / 필요한 서류는 무엇인가요? | 법률
소액사건-소장-작성-내용-양식 | 소액사건 소장 작성법, 필수 기재사항과 청구취지 그리고 양식 받는 곳 | 소액사건 소장에는 무엇을 적나요? / 필수 기재사항은 무엇인가요? / 청구취지는 어떻게 쓰나요? / 소장 양식은 어디서 받나요? | 법률
소액사건-인지대-송달료-계산 | 소액사건 인지대와 송달료, 청구 금액별 계산부터 납부 방법까지 | 소액사건 인지대는 얼마인가요? / 송달료는 얼마를 내나요? / 청구 금액별로 어떻게 계산하나요? / 인지대·송달료 납부 방법 | 법률
근로계약서 | 근로계약서 필수 기재사항, 임금과 근로시간 휴일 그리고 미교부 처벌 | 근로계약서에 꼭 들어가야 할 내용은? / 임금은 어떻게 적어야 하나요? / 근로시간과 휴일은 어떻게 명시하나요? / 안 써주면 처벌되나요? | 법률
연차휴가 | 연차휴가 발생 기준과 개수, 연차수당 계산과 사용촉진제도 | 연차휴가는 언제부터 발생하나요? / 몇 개를 받을 수 있나요? / 연차수당은 어떻게 계산하나요? / 사용촉진제도가 적용되면 어떻게 되나요? | 법률
출산휴가 | 출산휴가와 배우자출산휴가 기간, 급여 상한액과 신청 방법 | 출산휴가는 며칠인가요? / 배우자출산휴가는 며칠인가요? / 급여는 얼마까지 받나요? / 출산휴가 급여 신청 방법 | 법률
건물-급수관-검사-시기-준공검사-일반검사 | 건물 급수관 검사 시기, 준공검사와 일반검사 주기 그리고 미이행 과태료 | 건물 급수관 검사는 언제 받나요? / 준공검사는 어떤 경우에 받나요? / 일반검사 주기는 얼마인가요? / 안 받으면 과태료가 나오나요? | 법률
건물-내진설계-없음-내진보강-지원-신청-조세감면 | 내진설계 없는 건물 내진보강 지원, 신청 대상과 조세감면 그리고 신청 방법 | 내진설계가 없는 건물도 지원받나요? / 신청 대상은 어떻게 되나요? / 조세감면은 얼마나 되나요? / 내진보강 지원 신청 방법 | 법률
부동산등기-인터넷-신청-절차-전자신청-사용자등록 | 부동산등기 인터넷 신청 절차, 사용자등록과 전자서명 그리고 수수료 | 부동산등기를 인터넷으로 신청할 수 있나요? / 사용자등록은 어떻게 하나요? / 전자서명은 무엇이 필요한가요? / 수수료는 얼마인가요? | 법률
상가-용도변경-음식점-사무실-절차-제2종-근린생활시설 | 상가 용도변경 절차, 제2종 근린생활시설 기준과 음식점 사무실 전환 | 상가 용도변경은 어떤 절차인가요? / 제2종 근린생활시설 기준은 무엇인가요? / 사무실을 음식점으로 바꿀 수 있나요? / 용도변경 신청 방법과 비용 | 법률
자동차-변경등록-이사-전입신고-지역번호판 | 이사 후 자동차 변경등록, 전입신고 연계와 지역번호판 그리고 기한 과태료 | 이사하면 자동차 변경등록을 해야 하나요? / 전입신고하면 자동으로 되나요? / 지역번호판은 바꿔야 하나요? / 기한을 넘기면 과태료가 나오나요? | 법률
재건축부담금-이의제기-방법-고지전심사청구-50일 | 재건축부담금 이의제기 방법, 고지 전 심사청구 50일과 행정심판 | 재건축부담금에 이의를 제기할 수 있나요? / 고지 전 심사청구란 무엇인가요? / 50일 기한은 언제부터 세나요? / 행정심판과 소송은 어떻게 하나요? | 법률
농수산물-원산지-표시-위반-신고-포상금 | 농수산물 원산지 표시 위반 신고, 포상금 지급 기준과 신고 방법 | 원산지 표시 위반은 어디에 신고하나요? / 어떤 경우가 위반인가요? / 포상금은 얼마를 받나요? / 신고 방법과 필요한 증거 | 법률
명절-선물-청탁금지법-가액 | 명절 선물 청탁금지법 가액 한도, 농수산물 30만원과 일반 선물은 얼마인가요? | 명절 선물 한도는 얼마인가요? / 농수산물은 왜 30만원인가요? / 일반 선물 한도는 얼마인가요? / 한도를 넘기면 어떻게 되나요? | 법률
헬프법24-법률구조-서비스-통합-플랫폼 | 법률구조 통합 플랫폼 헬프법24, 이용 대상과 신청 서비스 그리고 접속 방법 | 헬프법24는 어떤 서비스인가요? / 누가 이용할 수 있나요? / 어떤 법률구조를 신청할 수 있나요? / 헬프법24 접속과 이용 방법 | 법률
종신보험-피상속인-채무 | 종신보험금으로 상속 채무 갚아야 하나요, 상속재산 포함 여부와 한정승인 | 종신보험금도 상속재산인가요? / 보험금으로 빚을 갚아야 하나요? / 상속포기해도 보험금을 받나요? / 한정승인은 어떻게 신청하나요? | 법률
차용증-없이-돈-받기-통장이체-증거 | 차용증 없이 빌려준 돈 받는 방법, 통장 이체 내역 증거와 소송 절차 | 차용증 없이도 돈을 받을 수 있나요? / 통장 이체 내역이 증거가 되나요? / 증여로 오해받지 않으려면? / 소송으로 받는 절차와 비용 | 법률
폭행상해사건-수사절차 | 폭행 상해사건 수사 절차, 고소부터 송치까지와 합의 시기 | 폭행 상해사건은 어떤 순서로 수사되나요? / 고소는 어떻게 하나요? / 검찰 송치까지 얼마나 걸리나요? / 합의는 언제 해야 하나요? | 법률
