# 묶음 실행 목록 — 줄마다: slug | 주제 한 줄 | 카테고리(비우면 파이프라인이 고름) | 키워드 파일 | 타이틀
# npm run article -- --batch scripts/batch.txt --parallel 4 --batch-budget 90
# 글 작성이 구독 사용량의 대부분이다 (편당 약 $2.8). 상한: 글당 --budget, 묶음 --batch-budget

# ── 직군·고용형태 7편 ──
# [통과 2026-09-14] 건설일용직-실업급여 | 건설일용직 실업급여: 근로일수 요건, 피보험단위기간 계산, 근로내역확인신고, 신청 순서 | 고용 | scripts/keywords/실업급여.json | 건설일용직 실업급여 근로일수 요건과 단위기간 계산

# ── 금액·급여 종류 6편 ──
# [통과 2026-09-14] 실업급여-연장 | 실업급여 연장급여: 훈련연장급여, 개별연장급여, 특별연장급여, 신청 방법 | 고용 | scripts/keywords/실업급여.json | 실업급여 연장급여 훈련연장과 개별연장
실업급여-취업촉진수당 | 취업촉진수당: 조기재취업수당, 직업능력개발수당, 광역구직활동비, 이주비 | 고용 | scripts/keywords/실업급여.json | 취업촉진수당 조기재취업수당과 직업능력개발수당
# [통과 2026-09-14] 실업급여-상병급여 | 상병급여: 신청 요건, 7일 이상 기준, 금액과 일수, 진단서·제출 기한 | 고용 | scripts/keywords/실업급여.json | 상병급여 신청 요건과 7일 기준
# [통과 2026-09-14] 실업급여-기초일액 | 실업급여 평균임금과 기초일액: 3개월 산정 기간, 포함·제외 수당, 상여금·연차수당, 기초일액 상하한 | 고용 | scripts/keywords/실업급여.json | 실업급여 평균임금 3개월 산정과 포함 수당
# [통과 2026-09-14] 실업급여-세금 | 실업급여 세금: 비과세 근거, 연말정산 반영, 소득 신고 여부, 건강보험료 영향 | 고용 | scripts/keywords/실업급여.json | 실업급여 세금 비과세 근거와 연말정산
# [통과 2026-09-14] 실업급여-미지급-상속 | 미지급 실업급여 유족 청구: 청구권자 순위, 청구 기한, 필요 서류, 신청 절차 | 고용 | scripts/keywords/실업급여.json | 미지급 실업급여 유족 청구 순위와 기한

# ── 절차 7편 ──
# [통과 2026-09-14 재실행] 실업급여-신청기간 | 실업급여 신청 기간: 12개월 기한, 기산일 계산, 늦게 신청하면, 수급기간 연기 | 고용 | scripts/keywords/실업급여.json | 실업급여 신청 기간 12개월 기한과 기산일 계산
# [통과 2026-09-14] 실업급여-관할-고용센터 | 실업급여 관할 고용센터: 관할 판정 기준, 센터 찾는 법, 이사 시 변경, 방문 없이 처리 | 고용 | scripts/keywords/실업급여.json | 실업급여 관할 고용센터 판정 기준과 찾는 법
# [통과 2026-09-14 재실행] 실업급여-직업훈련 | 실업급여 직업훈련: 내일배움카드 발급, 훈련 중 실업인정, 훈련 선택 기준, 중도 포기 시 | 고용 | scripts/keywords/실업급여.json | 실업급여 직업훈련 내일배움카드 발급과 훈련 선택
# [통과 2026-09-14] 실업급여-수급자격제한 | 실업급여 수급자격 제한: 제한 사유, 판정 통지, 제한 해제 요건, 재신청 시점 | 고용 | scripts/keywords/실업급여.json | 실업급여 수급자격 제한 사유와 판정 통지
# [통과 2026-09-14] 실업급여-이의신청 | 실업급여 이의신청: 심사청구 90일, 신청서 작성, 재심사청구, 행정소송 | 고용 | scripts/keywords/실업급여.json | 실업급여 이의신청 심사청구 90일과 신청서 작성
# [통과 2026-09-14] 실업급여-재신청 | 실업급여 재신청: 재신청 요건, 잔여일수 승계, 180일 재충족, 반복수급 감액 | 고용 | scripts/keywords/실업급여.json | 실업급여 재신청 요건과 잔여일수 승계
# [통과 2026-09-14] 실업급여-압류 | 실업급여 압류: 압류 금지 근거, 실업급여 전용계좌, 일반계좌 입금 시, 채권 추심 대응 | 고용 | scripts/keywords/실업급여.json | 실업급여 압류 금지 근거와 전용계좌 개설

# ── 상황별 4편 ──
# [통과 2026-09-14] 실업급여-군입대 | 군입대 실업급여: 입대 전 수급, 수급기간 연기 신청, 전역 후 재개, 필요 서류 | 고용 | scripts/keywords/실업급여.json | 군입대 실업급여 입대 전 수급과 기간 연기
# [통과 2026-09-14] 실업급여-기초수급자 | 기초생활수급자 실업급여: 중복 수급 여부, 소득인정액 반영, 생계급여 차감, 신고 의무 | 고용 | scripts/keywords/실업급여.json | 기초생활수급자 실업급여 중복 수급과 소득인정액 반영
# [통과 2026-09-14 재실행] 실업급여-창업 | 실업급여 수급 중 창업: 사업자등록 시점, 신고 의무, 수급 중단 기준, 조기재취업수당 | 고용 | scripts/keywords/실업급여.json | 실업급여 수급 중 창업 사업자등록과 신고 의무
# [통과 2026-09-14 재실행] 대학원생-실업급여 | 대학원 재학 중 실업급여: 수급자격 판정, 취업 의사 확인, 야간·주말 과정, 구직활동 인정 | 고용 | scripts/keywords/실업급여.json | 대학원 재학 중 실업급여 수급자격과 취업 의사 확인

# ── 끝난 줄 (2026-09-07 실행) ──
# 2026년-실업급여 | 2026년 실업급여 달라진 점: 상한액과 하한액, 수급 요건, 신청 절차 | 고용 | scripts/keywords/실업급여.json
# 보험금-청구-절차-지급기한 | 보험금 청구 절차와 지급기한: 필요 서류, 지급 기한, 지연 시 이자 | 보험 | scripts/keywords/5세대-실손보험-보장-내용.json
